drug1,drug2,status
Azithromycin,Cafein,unknown
Azithromycin,Calci chlorid,compatible
Azithromycin,Calci gluconat,compatible
Azithromycin,Caspofungin,controversial
Azithromycin,Cefamandol,unknown
Azithromycin,Cefazolin,compatible
Azithromycin,Cefepim,compatible
Azithromycin,Cefoperazon,compatible
Azithromycin,Cefoperazon + sulbactam,unknown
Azithromycin,Cefotaxim,controversial
Azithromycin,Cefoxitin,compatible
Azithromycin,Ceftarolin,compatible
Azithromycin,Ceftazidim,controversial
Azithromycin,Ceftazidim  +  Avibactam,compatible
Azithromycin,Ceftriaxon,controversial
Azithromycin,Ciprofloxacin,controversial
Azithromycin,Clindamycin,controversial
Azithromycin,Deferoxamin mesilat,unknown
Azithromycin,Dexamethason phosphat,compatible
Azithromycin,Dextrose,unknown
Azithromycin,Diazepam,incompatible
Azithromycin,Diphenhydramin hydroclorid,compatible
Azithromycin,Dobutamine Hydrochlorid,compatible
Azithromycin,Dopamin hydrochlorid,compatible
Azithromycin,Enoxaparin natri,unknown
Azithromycin,Esomeprazol,unknown
Azithromycin,Fentanyl,controversial
Azithromycin,Filgrastim,unknown
Azithromycin,Fluconazol,compatible
Azithromycin,Fosfomycin Sodium,compatible
Azithromycin,Furosemid,controversial
Azithromycin,Ganciclovir,compatible
Azithromycin,Gentamicin,controversial
Azithromycin,Heparin natri,compatible
Azithromycin,Gelatin,unknown
Azithromycin,Benzylpenicilin natri,unknown
Azithromycin,Hydrocortison,unknown
Azithromycin,Iloprost,unknown
Azithromycin,Imipenem + Cilasatin,controversial
Azithromycin,Immune globulin,unknown
Azithromycin,Insulin aspart,unknown
Azithromycin,Iohexol,unknown
Azithromycin,Iopromide,unknown
Azithromycin,Ketamine,unknown
Azithromycin,Ketorolac Tromethamol,controversial
Azithromycin,Levobupivacain,unknown
Azithromycin,Levofloxacin,controversial
Azithromycin,Lidocain hydroclorid,compatible
Azithromycin,Linezolid,compatible
Azithromycin,Magie Chlorid,unknown
Azithromycin,Magie sulfat,compatible
Azithromycin,Manitol,compatible
Azithromycin,Meropenem,compatible
Azithromycin,Methotrexat,compatible
Azithromycin,Methylprednisolon,unknown
Azithromycin,Metronidazol,compatible
Azithromycin,Micafungin natri,unknown
Azithromycin,Midazolam,incompatible
Azithromycin,Milrinone,compatible
Azithromycin,Morphin sulfat,controversial
Azithromycin,Kali chlorid,controversial
Azithromycin,Natri colistimethat,unknown
Azithromycin,Recombinant Human Erythropoietin alfa,unknown
Azithromycin,Naloxon hydroclorid,compatible
Azithromycin,Neostigmin methylsulfat,unknown
Azithromycin,Nicardipin hydrochlorid,incompatible
Azithromycin,Noradrenalin,unknown
Azithromycin,Octreotide,compatible
Azithromycin,Omeprazol,unknown
Azithromycin,Ondansetron,compatible
Azithromycin,Oxacilin,unknown
Azithromycin,Pantoprazol,compatible
Azithromycin,Phenobarbital,compatible
Azithromycin,Phytomenadion,unknown
Azithromycin,Piperacilin + Tazobactam,controversial
Azithromycin,Propofol,unknown
Azithromycin,Rocuronium Bromid,compatible
Azithromycin,Natri bicarbonat,compatible
Azithromycin,Natri Chlorid,unknown
Azithromycin,Natri lactat,unknown
Azithromycin,Sugammadex,unknown
Azithromycin,Terbutalin sulfat,unknown
Azithromycin,Tinidazol,unknown
Azithromycin,Tobramycin sulfat,controversial
Azithromycin,Vancomycin,compatible
Azithromycin,Voriconazol,compatible
Benzylpenicilin natri,Bupivacaine HCl,unknown
Benzylpenicilin natri,Cafein,compatible
Benzylpenicilin natri,Calci chlorid,compatible
Benzylpenicilin natri,Calci gluconat,compatible
Benzylpenicilin natri,Caspofungin,unknown
Benzylpenicilin natri,Cefamandol,compatible
Benzylpenicilin natri,Cefazolin,compatible
Benzylpenicilin natri,Cefepim,unknown
Benzylpenicilin natri,Cefoperazon,compatible
Benzylpenicilin natri,Cefoperazon + sulbactam,unknown
Benzylpenicilin natri,Cefotaxim,compatible
Benzylpenicilin natri,Cefoxitin,compatible
Benzylpenicilin natri,Ceftarolin,unknown
Benzylpenicilin natri,Ceftazidim,compatible
Benzylpenicilin natri,Ceftazidim  +  Avibactam,unknown
Benzylpenicilin natri,Ceftriaxon,compatible
Benzylpenicilin natri,Ciprofloxacin,unknown
Benzylpenicilin natri,Clindamycin,compatible
Benzylpenicilin natri,Deferoxamin mesilat,unknown
Benzylpenicilin natri,Dexamethason phosphat,compatible
Benzylpenicilin natri,Dextrose,unknown
Benzylpenicilin natri,Diazepam,incompatible
Benzylpenicilin natri,Diphenhydramin hydroclorid,compatible
Benzylpenicilin natri,Dobutamine Hydrochlorid,incompatible
Benzylpenicilin natri,Dopamin hydrochlorid,compatible
Benzylpenicilin natri,Enoxaparin natri,unknown
Benzylpenicilin natri,Esomeprazol,unknown
Benzylpenicilin natri,Fentanyl,compatible
Benzylpenicilin natri,Filgrastim,unknown
Benzylpenicilin natri,Fluconazol,compatible
Benzylpenicilin natri,Fosfomycin Sodium,unknown
Benzylpenicilin natri,Furosemid,compatible
Benzylpenicilin natri,Ganciclovir,incompatible
Benzylpenicilin natri,Gentamicin,compatible
Benzylpenicilin natri,Heparin natri,compatible
Benzylpenicilin natri,Gelatin,unknown
Benzylpenicilin natri,Hydrocortison,unknown
Benzylpenicilin natri,Iloprost,unknown
Benzylpenicilin natri,Imipenem + Cilasatin,compatible
Benzylpenicilin natri,Immune globulin,unknown
Benzylpenicilin natri,Insulin aspart,unknown
Benzylpenicilin natri,Iohexol,unknown
Benzylpenicilin natri,Iopromide,unknown
Benzylpenicilin natri,Ketamine,compatible
Benzylpenicilin natri,Ketorolac Tromethamol,compatible
Benzylpenicilin natri,Levobupivacain,unknown
Benzylpenicilin natri,Levofloxacin,compatible
Benzylpenicilin natri,Lidocain hydroclorid,compatible
Benzylpenicilin natri,Linezolid,unknown
Benzylpenicilin natri,Magie Chlorid,unknown
Benzylpenicilin natri,Magie sulfat,compatible
Benzylpenicilin natri,Manitol,compatible
Benzylpenicilin natri,Meropenem,compatible
Benzylpenicilin natri,Methotrexat,unknown
Benzylpenicilin natri,Methylprednisolon,unknown
Benzylpenicilin natri,Metronidazol,unknown
Benzylpenicilin natri,Micafungin natri,unknown
Benzylpenicilin natri,Midazolam,compatible
Benzylpenicilin natri,Milrinone,unknown
Benzylpenicilin natri,Morphin sulfat,compatible
Benzylpenicilin natri,Kali chlorid,compatible
Benzylpenicilin natri,Natri colistimethat,compatible
Benzylpenicilin natri,Recombinant Human Erythropoietin alfa,compatible
Benzylpenicilin natri,Naloxon hydroclorid,compatible
Benzylpenicilin natri,Neostigmin methylsulfat,unknown
Benzylpenicilin natri,Nicardipin hydrochlorid,unknown
Benzylpenicilin natri,Noradrenalin,unknown
Benzylpenicilin natri,Octreotide,unknown
Benzylpenicilin natri,Omeprazol,unknown
Benzylpenicilin natri,Ondansetron,compatible
Benzylpenicilin natri,Oxacilin,compatible
Benzylpenicilin natri,Pantoprazol,compatible
Benzylpenicilin natri,Phenobarbital,controversial
Benzylpenicilin natri,Phytomenadion,compatible
Benzylpenicilin natri,Piperacilin + Tazobactam,unknown
Benzylpenicilin natri,Propofol,unknown
Benzylpenicilin natri,Rocuronium Bromid,unknown
Benzylpenicilin natri,Natri bicarbonat,compatible
Benzylpenicilin natri,Natri Chlorid,unknown
Benzylpenicilin natri,Natri lactat,unknown
Benzylpenicilin natri,Sugammadex,unknown
Benzylpenicilin natri,Terbutalin sulfat,unknown
Benzylpenicilin natri,Tinidazol,unknown
Benzylpenicilin natri,Tobramycin sulfat,compatible
Benzylpenicilin natri,Vancomycin,unknown
Benzylpenicilin natri,Voriconazol,unknown
Bupivacaine HCl,Cafein,unknown
Bupivacaine HCl,Calci chlorid,unknown
Bupivacaine HCl,Calci gluconat,unknown
Bupivacaine HCl,Caspofungin,unknown
Bupivacaine HCl,Cefamandol,unknown
Bupivacaine HCl,Cefazolin,unknown
Bupivacaine HCl,Cefepim,unknown
Bupivacaine HCl,Cefoperazon,unknown
Bupivacaine HCl,Cefoperazon + sulbactam,unknown
Bupivacaine HCl,Cefotaxim,unknown
Bupivacaine HCl,Cefoxitin,unknown
Bupivacaine HCl,Ceftarolin,unknown
Bupivacaine HCl,Ceftazidim,unknown
Bupivacaine HCl,Ceftazidim  +  Avibactam,unknown
Bupivacaine HCl,Ceftriaxon,unknown
Bupivacaine HCl,Ciprofloxacin,unknown
Bupivacaine HCl,Clindamycin,unknown
Bupivacaine HCl,Deferoxamin mesilat,unknown
Bupivacaine HCl,Dexamethason phosphat,unknown
Bupivacaine HCl,Dextrose,unknown
Bupivacaine HCl,Diazepam,unknown
Bupivacaine HCl,Diphenhydramin hydroclorid,unknown
Bupivacaine HCl,Dobutamine Hydrochlorid,unknown
Bupivacaine HCl,Dopamin hydrochlorid,unknown
Bupivacaine HCl,Enoxaparin natri,unknown
Bupivacaine HCl,Esomeprazol,unknown
Bupivacaine HCl,Fentanyl,unknown
Bupivacaine HCl,Filgrastim,unknown
Bupivacaine HCl,Fluconazol,unknown
Bupivacaine HCl,Fosfomycin Sodium,unknown
Bupivacaine HCl,Furosemid,unknown
Bupivacaine HCl,Ganciclovir,unknown
Bupivacaine HCl,Gentamicin,unknown
Bupivacaine HCl,Heparin natri,unknown
Bupivacaine HCl,Gelatin,unknown
Bupivacaine HCl,Hydrocortison,unknown
Bupivacaine HCl,Iloprost,unknown
Bupivacaine HCl,Imipenem + Cilasatin,unknown
Bupivacaine HCl,Immune globulin,unknown
Bupivacaine HCl,Insulin aspart,unknown
Bupivacaine HCl,Iohexol,unknown
Bupivacaine HCl,Iopromide,unknown
Bupivacaine HCl,Ketamine,unknown
Bupivacaine HCl,Ketorolac Tromethamol,unknown
Bupivacaine HCl,Levobupivacain,unknown
Bupivacaine HCl,Levofloxacin,unknown
Bupivacaine HCl,Lidocain hydroclorid,unknown
Bupivacaine HCl,Linezolid,unknown
Bupivacaine HCl,Magie Chlorid,unknown
Bupivacaine HCl,Magie sulfat,unknown
Bupivacaine HCl,Manitol,unknown
Bupivacaine HCl,Meropenem,incompatible
Bupivacaine HCl,Methotrexat,unknown
Bupivacaine HCl,Methylprednisolon,unknown
Bupivacaine HCl,Metronidazol,unknown
Bupivacaine HCl,Micafungin natri,unknown
Bupivacaine HCl,Midazolam,unknown
Bupivacaine HCl,Milrinone,unknown
Bupivacaine HCl,Morphin sulfat,unknown
Bupivacaine HCl,Kali chlorid,unknown
Bupivacaine HCl,Natri colistimethat,unknown
Bupivacaine HCl,Recombinant Human Erythropoietin alfa,unknown
Bupivacaine HCl,Naloxon hydroclorid,unknown
Bupivacaine HCl,Neostigmin methylsulfat,unknown
Bupivacaine HCl,Nicardipin hydrochlorid,unknown
Bupivacaine HCl,Noradrenalin,unknown
Bupivacaine HCl,Octreotide,unknown
Bupivacaine HCl,Omeprazol,unknown
Bupivacaine HCl,Ondansetron,unknown
Bupivacaine HCl,Oxacilin,unknown
Bupivacaine HCl,Pantoprazol,unknown
Bupivacaine HCl,Phenobarbital,unknown
Bupivacaine HCl,Phytomenadion,unknown
Bupivacaine HCl,Piperacilin + Tazobactam,unknown
Bupivacaine HCl,Propofol,unknown
Bupivacaine HCl,Rocuronium Bromid,unknown
Bupivacaine HCl,Natri bicarbonat,unknown
Bupivacaine HCl,Natri Chlorid,unknown
Bupivacaine HCl,Natri lactat,unknown
Bupivacaine HCl,Sugammadex,unknown
Bupivacaine HCl,Terbutalin sulfat,unknown
Bupivacaine HCl,Tinidazol,unknown
Bupivacaine HCl,Tobramycin sulfat,unknown
Bupivacaine HCl,Vancomycin,unknown
Bupivacaine HCl,Voriconazol,unknown
Cafein,Calci chlorid,unknown
Cafein,Calci gluconat,compatible
Cafein,Caspofungin,unknown
Cafein,Cefamandol,unknown
Cafein,Cefazolin,unknown
Cafein,Cefepim,unknown
Cafein,Cefoperazon,unknown
Cafein,Cefoperazon + sulbactam,unknown
Cafein,Cefotaxim,compatible
Cafein,Cefoxitin,unknown
Cafein,Ceftarolin,unknown
Cafein,Ceftazidim,unknown
Cafein,Ceftazidim  +  Avibactam,unknown
Cafein,Ceftriaxon,unknown
Cafein,Ciprofloxacin,compatible
Cafein,Clindamycin,unknown
Cafein,Deferoxamin mesilat,unknown
Cafein,Dexamethason phosphat,unknown
Cafein,Dextrose,unknown
Cafein,Diazepam,unknown
Cafein,Diphenhydramin hydroclorid,unknown
Cafein,Dobutamine Hydrochlorid,compatible
Cafein,Dopamin hydrochlorid,compatible
Cafein,Enoxaparin natri,unknown
Cafein,Esomeprazol,unknown
Cafein,Fentanyl,compatible
Cafein,Filgrastim,unknown
Cafein,Fluconazol,compatible
Cafein,Fosfomycin Sodium,unknown
Cafein,Furosemid,incompatible
Cafein,Ganciclovir,unknown
Cafein,Gentamicin,compatible
Cafein,Heparin natri,compatible
Cafein,Gelatin,unknown
Cafein,Hydrocortison,unknown
Cafein,Iloprost,unknown
Cafein,Imipenem + Cilasatin,unknown
Cafein,Immune globulin,unknown
Cafein,Insulin aspart,unknown
Cafein,Iohexol,unknown
Cafein,Iopromide,unknown
Cafein,Ketamine,compatible
Cafein,Ketorolac Tromethamol,unknown
Cafein,Levobupivacain,unknown
Cafein,Levofloxacin,compatible
Cafein,Lidocain hydroclorid,unknown
Cafein,Linezolid,compatible
Cafein,Magie Chlorid,unknown
Cafein,Magie sulfat,unknown
Cafein,Manitol,unknown
Cafein,Meropenem,compatible
Cafein,Methotrexat,unknown
Cafein,Methylprednisolon,unknown
Cafein,Metronidazol,compatible
Cafein,Micafungin natri,unknown
Cafein,Midazolam,compatible
Cafein,Milrinone,compatible
Cafein,Morphin sulfat,compatible
Cafein,Kali chlorid,unknown
Cafein,Natri colistimethat,unknown
Cafein,Recombinant Human Erythropoietin alfa,unknown
Cafein,Naloxon hydroclorid,compatible
Cafein,Neostigmin methylsulfat,unknown
Cafein,Nicardipin hydrochlorid,unknown
Cafein,Noradrenalin,unknown
Cafein,Octreotide,unknown
Cafein,Omeprazol,unknown
Cafein,Ondansetron,unknown
Cafein,Oxacilin,unknown
Cafein,Pantoprazol,incompatible
Cafein,Phenobarbital,compatible
Cafein,Phytomenadion,unknown
Cafein,Piperacilin + Tazobactam,compatible
Cafein,Propofol,unknown
Cafein,Rocuronium Bromid,unknown
Cafein,Natri bicarbonat,compatible
Cafein,Natri Chlorid,unknown
Cafein,Natri lactat,unknown
Cafein,Sugammadex,unknown
Cafein,Terbutalin sulfat,unknown
Cafein,Tinidazol,unknown
Cafein,Tobramycin sulfat,unknown
Cafein,Vancomycin,compatible
Cafein,Voriconazol,unknown
Calci chlorid,Calci gluconat,compatible
Calci chlorid,Caspofungin,compatible
Calci chlorid,Cefamandol,incompatible
Calci chlorid,Cefazolin,incompatible
Calci chlorid,Cefepim,unknown
Calci chlorid,Cefoperazon,incompatible
Calci chlorid,Cefoperazon + sulbactam,unknown
Calci chlorid,Cefotaxim,compatible
Calci chlorid,Cefoxitin,compatible
Calci chlorid,Ceftarolin,compatible
Calci chlorid,Ceftazidim,incompatible
Calci chlorid,Ceftazidim  +  Avibactam,unknown
Calci chlorid,Ceftriaxon,incompatible
Calci chlorid,Ciprofloxacin,unknown
Calci chlorid,Clindamycin,compatible
Calci chlorid,Deferoxamin mesilat,unknown
Calci chlorid,Dexamethason phosphat,controversial
Calci chlorid,Dextrose,unknown
Calci chlorid,Diazepam,incompatible
Calci chlorid,Diphenhydramin hydroclorid,compatible
Calci chlorid,Dobutamine Hydrochlorid,compatible
Calci chlorid,Dopamin hydrochlorid,compatible
Calci chlorid,Enoxaparin natri,unknown
Calci chlorid,Esomeprazol,unknown
Calci chlorid,Fentanyl,compatible
Calci chlorid,Filgrastim,unknown
Calci chlorid,Fluconazol,compatible
Calci chlorid,Fosfomycin Sodium,controversial
Calci chlorid,Furosemid,compatible
Calci chlorid,Ganciclovir,compatible
Calci chlorid,Gentamicin,compatible
Calci chlorid,Heparin natri,controversial
Calci chlorid,Gelatin,unknown
Calci chlorid,Hydrocortison,unknown
Calci chlorid,Iloprost,unknown
Calci chlorid,Imipenem + Cilasatin,controversial
Calci chlorid,Immune globulin,unknown
Calci chlorid,Insulin aspart,unknown
Calci chlorid,Iohexol,unknown
Calci chlorid,Iopromide,unknown
Calci chlorid,Ketamine,unknown
Calci chlorid,Ketorolac Tromethamol,incompatible
Calci chlorid,Levobupivacain,unknown
Calci chlorid,Levofloxacin,unknown
Calci chlorid,Lidocain hydroclorid,compatible
Calci chlorid,Linezolid,compatible
Calci chlorid,Magie Chlorid,unknown
Calci chlorid,Magie sulfat,incompatible
Calci chlorid,Manitol,compatible
Calci chlorid,Meropenem,compatible
Calci chlorid,Methotrexat,compatible
Calci chlorid,Methylprednisolon,unknown
Calci chlorid,Metronidazol,compatible
Calci chlorid,Micafungin natri,compatible
Calci chlorid,Midazolam,compatible
Calci chlorid,Milrinone,compatible
Calci chlorid,Morphin sulfat,compatible
Calci chlorid,Kali chlorid,compatible
Calci chlorid,Natri colistimethat,compatible
Calci chlorid,Recombinant Human Erythropoietin alfa,compatible
Calci chlorid,Naloxon hydroclorid,compatible
Calci chlorid,Neostigmin methylsulfat,unknown
Calci chlorid,Nicardipin hydrochlorid,compatible
Calci chlorid,Noradrenalin,unknown
Calci chlorid,Octreotide,compatible
Calci chlorid,Omeprazol,unknown
Calci chlorid,Ondansetron,compatible
Calci chlorid,Oxacilin,incompatible
Calci chlorid,Pantoprazol,incompatible
Calci chlorid,Phenobarbital,compatible
Calci chlorid,Phytomenadion,compatible
Calci chlorid,Piperacilin + Tazobactam,compatible
Calci chlorid,Propofol,incompatible
Calci chlorid,Rocuronium Bromid,compatible
Calci chlorid,Natri bicarbonat,incompatible
Calci chlorid,Natri Chlorid,unknown
Calci chlorid,Natri lactat,unknown
Calci chlorid,Sugammadex,unknown
Calci chlorid,Terbutalin sulfat,unknown
Calci chlorid,Tinidazol,unknown
Calci chlorid,Tobramycin sulfat,compatible
Calci chlorid,Vancomycin,compatible
Calci chlorid,Voriconazol,compatible
Calci gluconat,Caspofungin,compatible
Calci gluconat,Cefamandol,compatible
Calci gluconat,Cefazolin,compatible
Calci gluconat,Cefepim,compatible
Calci gluconat,Cefoperazon,compatible
Calci gluconat,Cefoperazon + sulbactam,unknown
Calci gluconat,Cefotaxim,compatible
Calci gluconat,Cefoxitin,compatible
Calci gluconat,Ceftarolin,compatible
Calci gluconat,Ceftazidim,compatible
Calci gluconat,Ceftazidim  +  Avibactam,unknown
Calci gluconat,Ceftriaxon,incompatible
Calci gluconat,Ciprofloxacin,compatible
Calci gluconat,Clindamycin,compatible
Calci gluconat,Deferoxamin mesilat,unknown
Calci gluconat,Dexamethason phosphat,controversial
Calci gluconat,Dextrose,unknown
Calci gluconat,Diazepam,incompatible
Calci gluconat,Diphenhydramin hydroclorid,compatible
Calci gluconat,Dobutamine Hydrochlorid,compatible
Calci gluconat,Dopamin hydrochlorid,compatible
Calci gluconat,Enoxaparin natri,unknown
Calci gluconat,Esomeprazol,unknown
Calci gluconat,Fentanyl,compatible
Calci gluconat,Filgrastim,compatible
Calci gluconat,Fluconazol,controversial
Calci gluconat,Fosfomycin Sodium,compatible
Calci gluconat,Furosemid,compatible
Calci gluconat,Ganciclovir,compatible
Calci gluconat,Gentamicin,compatible
Calci gluconat,Heparin natri,compatible
Calci gluconat,Gelatin,unknown
Calci gluconat,Hydrocortison,unknown
Calci gluconat,Iloprost,unknown
Calci gluconat,Imipenem + Cilasatin,controversial
Calci gluconat,Immune globulin,unknown
Calci gluconat,Insulin aspart,unknown
Calci gluconat,Iohexol,unknown
Calci gluconat,Iopromide,unknown
Calci gluconat,Ketamine,compatible
Calci gluconat,Ketorolac Tromethamol,controversial
Calci gluconat,Levobupivacain,unknown
Calci gluconat,Levofloxacin,compatible
Calci gluconat,Lidocain hydroclorid,compatible
Calci gluconat,Linezolid,compatible
Calci gluconat,Magie Chlorid,unknown
Calci gluconat,Magie sulfat,compatible
Calci gluconat,Manitol,compatible
Calci gluconat,Meropenem,controversial
Calci gluconat,Methotrexat,compatible
Calci gluconat,Methylprednisolon,unknown
Calci gluconat,Metronidazol,compatible
Calci gluconat,Micafungin natri,compatible
Calci gluconat,Midazolam,compatible
Calci gluconat,Milrinone,compatible
Calci gluconat,Morphin sulfat,compatible
Calci gluconat,Kali chlorid,compatible
Calci gluconat,Natri colistimethat,compatible
Calci gluconat,Recombinant Human Erythropoietin alfa,compatible
Calci gluconat,Naloxon hydroclorid,compatible
Calci gluconat,Neostigmin methylsulfat,unknown
Calci gluconat,Nicardipin hydrochlorid,compatible
Calci gluconat,Noradrenalin,unknown
Calci gluconat,Octreotide,compatible
Calci gluconat,Omeprazol,unknown
Calci gluconat,Ondansetron,compatible
Calci gluconat,Oxacilin,incompatible
Calci gluconat,Pantoprazol,controversial
Calci gluconat,Phenobarbital,compatible
Calci gluconat,Phytomenadion,compatible
Calci gluconat,Piperacilin + Tazobactam,compatible
Calci gluconat,Propofol,compatible
Calci gluconat,Rocuronium Bromid,compatible
Calci gluconat,Natri bicarbonat,incompatible
Calci gluconat,Natri Chlorid,unknown
Calci gluconat,Natri lactat,unknown
Calci gluconat,Sugammadex,unknown
Calci gluconat,Terbutalin sulfat,unknown
Calci gluconat,Tinidazol,unknown
Calci gluconat,Tobramycin sulfat,compatible
Calci gluconat,Vancomycin,compatible
Calci gluconat,Voriconazol,compatible
Caspofungin,Cefamandol,unknown
Caspofungin,Cefazolin,incompatible
Caspofungin,Cefepim,incompatible
Caspofungin,Cefoperazon,incompatible
Caspofungin,Cefoperazon + sulbactam,unknown
Caspofungin,Cefotaxim,incompatible
Caspofungin,Cefoxitin,incompatible
Caspofungin,Ceftarolin,incompatible
Caspofungin,Ceftazidim,incompatible
Caspofungin,Ceftazidim  +  Avibactam,unknown
Caspofungin,Ceftriaxon,incompatible
Caspofungin,Ciprofloxacin,compatible
Caspofungin,Clindamycin,incompatible
Caspofungin,Deferoxamin mesilat,unknown
Caspofungin,Dexamethason phosphat,incompatible
Caspofungin,Dextrose,unknown
Caspofungin,Diazepam,incompatible
Caspofungin,Diphenhydramin hydroclorid,compatible
Caspofungin,Dobutamine Hydrochlorid,compatible
Caspofungin,Dopamin hydrochlorid,compatible
Caspofungin,Enoxaparin natri,unknown
Caspofungin,Esomeprazol,unknown
Caspofungin,Fentanyl,compatible
Caspofungin,Filgrastim,unknown
Caspofungin,Fluconazol,compatible
Caspofungin,Fosfomycin Sodium,incompatible
Caspofungin,Furosemid,incompatible
Caspofungin,Ganciclovir,compatible
Caspofungin,Gentamicin,compatible
Caspofungin,Heparin natri,incompatible
Caspofungin,Gelatin,unknown
Caspofungin,Hydrocortison,unknown
Caspofungin,Iloprost,unknown
Caspofungin,Imipenem + Cilasatin,compatible
Caspofungin,Immune globulin,unknown
Caspofungin,Insulin aspart,unknown
Caspofungin,Iohexol,unknown
Caspofungin,Iopromide,unknown
Caspofungin,Ketamine,unknown
Caspofungin,Ketorolac Tromethamol,incompatible
Caspofungin,Levobupivacain,unknown
Caspofungin,Levofloxacin,compatible
Caspofungin,Lidocain hydroclorid,incompatible
Caspofungin,Linezolid,compatible
Caspofungin,Magie Chlorid,unknown
Caspofungin,Magie sulfat,compatible
Caspofungin,Manitol,compatible
Caspofungin,Meropenem,compatible
Caspofungin,Methotrexat,incompatible
Caspofungin,Methylprednisolon,unknown
Caspofungin,Metronidazol,controversial
Caspofungin,Micafungin natri,unknown
Caspofungin,Midazolam,compatible
Caspofungin,Milrinone,compatible
Caspofungin,Morphin sulfat,compatible
Caspofungin,Kali chlorid,compatible
Caspofungin,Natri colistimethat,unknown
Caspofungin,Recombinant Human Erythropoietin alfa,unknown
Caspofungin,Naloxon hydroclorid,compatible
Caspofungin,Neostigmin methylsulfat,unknown
Caspofungin,Nicardipin hydrochlorid,compatible
Caspofungin,Noradrenalin,unknown
Caspofungin,Octreotide,compatible
Caspofungin,Omeprazol,unknown
Caspofungin,Ondansetron,compatible
Caspofungin,Oxacilin,unknown
Caspofungin,Pantoprazol,controversial
Caspofungin,Phenobarbital,incompatible
Caspofungin,Phytomenadion,unknown
Caspofungin,Piperacilin + Tazobactam,incompatible
Caspofungin,Propofol,unknown
Caspofungin,Rocuronium Bromid,compatible
Caspofungin,Natri bicarbonat,incompatible
Caspofungin,Natri Chlorid,unknown
Caspofungin,Natri lactat,unknown
Caspofungin,Sugammadex,unknown
Caspofungin,Terbutalin sulfat,unknown
Caspofungin,Tinidazol,unknown
Caspofungin,Tobramycin sulfat,compatible
Caspofungin,Vancomycin,compatible
Caspofungin,Voriconazol,compatible
Cefamandol,Cefazolin,compatible
Cefamandol,Cefepim,unknown
Cefamandol,Cefoperazon,compatible
Cefamandol,Cefoperazon + sulbactam,unknown
Cefamandol,Cefotaxim,compatible
Cefamandol,Cefoxitin,compatible
Cefamandol,Ceftarolin,unknown
Cefamandol,Ceftazidim,compatible
Cefamandol,Ceftazidim  +  Avibactam,unknown
Cefamandol,Ceftriaxon,compatible
Cefamandol,Ciprofloxacin,unknown
Cefamandol,Clindamycin,compatible
Cefamandol,Deferoxamin mesilat,unknown
Cefamandol,Dexamethason phosphat,compatible
Cefamandol,Dextrose,unknown
Cefamandol,Diazepam,incompatible
Cefamandol,Diphenhydramin hydroclorid,incompatible
Cefamandol,Dobutamine Hydrochlorid,incompatible
Cefamandol,Dopamin hydrochlorid,compatible
Cefamandol,Enoxaparin natri,unknown
Cefamandol,Esomeprazol,unknown
Cefamandol,Fentanyl,compatible
Cefamandol,Filgrastim,unknown
Cefamandol,Fluconazol,compatible
Cefamandol,Fosfomycin Sodium,unknown
Cefamandol,Furosemid,compatible
Cefamandol,Ganciclovir,incompatible
Cefamandol,Gentamicin,compatible
Cefamandol,Heparin natri,compatible
Cefamandol,Gelatin,unknown
Cefamandol,Hydrocortison,unknown
Cefamandol,Iloprost,unknown
Cefamandol,Imipenem + Cilasatin,compatible
Cefamandol,Immune globulin,unknown
Cefamandol,Insulin aspart,unknown
Cefamandol,Iohexol,unknown
Cefamandol,Iopromide,unknown
Cefamandol,Ketamine,unknown
Cefamandol,Ketorolac Tromethamol,compatible
Cefamandol,Levobupivacain,unknown
Cefamandol,Levofloxacin,unknown
Cefamandol,Lidocain hydroclorid,compatible
Cefamandol,Linezolid,unknown
Cefamandol,Magie Chlorid,unknown
Cefamandol,Magie sulfat,controversial
Cefamandol,Manitol,compatible
Cefamandol,Meropenem,unknown
Cefamandol,Methotrexat,unknown
Cefamandol,Methylprednisolon,unknown
Cefamandol,Metronidazol,unknown
Cefamandol,Micafungin natri,unknown
Cefamandol,Midazolam,compatible
Cefamandol,Milrinone,unknown
Cefamandol,Morphin sulfat,compatible
Cefamandol,Kali chlorid,compatible
Cefamandol,Natri colistimethat,unknown
Cefamandol,Recombinant Human Erythropoietin alfa,compatible
Cefamandol,Naloxon hydroclorid,compatible
Cefamandol,Neostigmin methylsulfat,unknown
Cefamandol,Nicardipin hydrochlorid,unknown
Cefamandol,Noradrenalin,unknown
Cefamandol,Octreotide,unknown
Cefamandol,Omeprazol,unknown
Cefamandol,Ondansetron,incompatible
Cefamandol,Oxacilin,compatible
Cefamandol,Pantoprazol,unknown
Cefamandol,Phenobarbital,compatible
Cefamandol,Phytomenadion,compatible
Cefamandol,Piperacilin + Tazobactam,unknown
Cefamandol,Propofol,unknown
Cefamandol,Rocuronium Bromid,unknown
Cefamandol,Natri bicarbonat,compatible
Cefamandol,Natri Chlorid,unknown
Cefamandol,Natri lactat,unknown
Cefamandol,Sugammadex,unknown
Cefamandol,Terbutalin sulfat,unknown
Cefamandol,Tinidazol,unknown
Cefamandol,Tobramycin sulfat,compatible
Cefamandol,Vancomycin,controversial
Cefamandol,Voriconazol,unknown
Cefazolin,Cefepim,unknown
Cefazolin,Cefoperazon,compatible
