Hoạt chất,Hàm lượng,Biệt dược,Dạng bào chế,Nước sản xuất,Chỉ định,Chống chỉ định,Liều dùng,Liều dùng tối đa,Thận trọng,Sử dụng thuốc cho PN có thai và cho con bú,Tương tác thuốc,Tác dụng không mong muốn,Bảo quản,Tài liệu tham khảo,Hình ảnh biệt dược
Budesonid,"0,5mg",Zensonid,Hỗn dịch dùng cho khí dung,Việt Nam,"Điều trị hen phế quản
Zensonid có thể được sử dụng khi cần thiết phải thay thế hoặc giảm liều steroid đường uống
Zensonid có thể dùng trong điều trị viêm thanh quản-khí quản-phế quản cấp (bệnh Croup) ở nhũ nhi và trẻ em",Quá mẫn với budesonid hoặc với các thành phần khác trong chế phẩm thuốc. Điều trị ban đầu cơn hen cấp hoặc trạng thái hen khi cần phải điều trị tích cực.,"Hen phế quản:
Liều khởi đầu hoặc trong giai đoạn hen nặng hoặc trong thời gian giảm liều corticosteroid đường uống:
Người lớn: 1-2 mg x 2 lần/ngày
Trẻ em: 0,5-1 mg x 2 lần/ngày
Điều trị duy trì:
Tuỳ thuộc cá nhân và nên dùng liều thấp nhất làm mất triệu chứng. Liều chỉ định là:
Người lớn: 0,5-1 mg x 2 lần/ngày
Trẻ em: 0,25-0,5 mg x 2 lần/ngày
Viêm thanh quản-khí quản-phế quản cấp (bệnh Croup)
Ở nhũ nhi và trẻ em mắc bệnh Croup, liều thông thường 2 mg budesonide dạng xông khí dung dùng 1 lần",,"Thận trọng trong trường hợp co thắt phế quản, co thắt phế quản nghịch lý, dùng corticoid dạng uống, ảnh hưởng đến tăng trưởng, bệnh nhân nhiễm khuẩn và lao, tăng tiết dịch nhầy trong đường hô hấp, chức năng gan, hệ thống phân phối áp lực dương",Thận trọng khi sử dụng thuốc cho phụ nữ có thai và cho con bú,"Thuốc hoặc thức ăn tác động đến enzym gan:
Thuốc (erythromycin, itraconazol, clarithromycin, ketoconazol, indinavir, ritonavir, saquinavir) và thực phẩm ức chế enzym CYP3A4: làm tăng nồng độ budesonid trong huyết tương, phải theo dõi các dấu hiệu và triệu chứng cường tuyến thượng thận và phải cân nhắc giảm liều budesonid.
Thuốc ngừa thai uống chứa ethinyl estradiol (cũng được isoenzym CYP3A4 chuyển hóa): không tác động đến nồng độ trong huyết tương của thuốc tránh thai đó.
Thuốc kích thích isoenzym CYP3A4: làm giảm nồng độ budesonid trong huyết tương.","Thường gặp: >1%
Ít gặp: <1%","Bảo quản trong bao bì kín, tránh ánh sáng, ở nhiệt độ dưới 30°C. Luôn giữ lọ chưa mở trong túi nhôm để bảo quản tránh ánh sáng",https://drive.google.com/file/d/1s2RaO7O3_9jeZ_Y5-ghk7xp0cYaDz-bm/view,
Claithromycin,125mg/5ml,Klacid,Cốm ha hỗn dịch,Indonesia,"Ðiều trị các nhiễm khuẩn đường hô hấp trên (như viêm họng do liên cầu khuẩn).
Ðiều trị các nhiễm khuẩn đường hô hấp dưới (như viêm phế quản, viêm phổi).
Điều trị viêm tai giữa cấp.
Điều trị nhiễm khuẩn da và cấu trúc da (như chốc lở, viêm nang lông, viêm mô tế bào, apxe).
Điều trị nhiễm khuẩn Mycobacterium khu trú hoặc lan tỏa do M.avium hoặc M.intracellulare; các nhiễm khuẩn khu trú do M.chelonae, M.fortuilum, hoặc M.kansaii.","Thuốc Klacid 125mg/5ml chống chỉ định trong các trường hợp sau:
Mẫn cảm với các kháng sinh họ macrolid hoặc với bất kỳ tá dược nào của thuốc.
Sử dụng đồng thời với các thuốc sau đây: astemizole, cisapride, pimozide, terfenadine vì có thể gây kéo dài khoảng QT và loạn nhịp tim bao gồm nhịp nhanh thất, rung tâm thất và xoắn đỉnh.
Sử dụng clarithromycin cùng ergotamine hoặc dihydroergotamine do có thể gây ngộ độc nấm cựa gà.
Sử dụng clarithromycin cùng thuốc ức chế enzyme HMG-CoA reductase (các thuốc statin) mà chuyển hóa phần lớn bởi CYP3A4 (lovastatin hoặc simvastatin), do tăng nguy cơ các bệnh về cơ, kể cả ly giải cơ vân.
Bệnh nhân có tiền sử khoảng QT kéo dài trên ECG hoặc loạn nhịp thất, bao gồm cả xoắn đỉnh.
Sử dụng clarithromycin với colchicin ở bệnh nhân suy gan, suy thận đang sử dụng các thuốc ức chế P-glycoprotein hoặc các thuốc ức chế CYP3A4.","Trẻ em từ 6 tháng tới 12 tuổi: Liều dùng là 7,5mg/kg, mỗi ngày uống 2 lần, tối đa 500 mg x 2 lần đối với các nhiễm khuẩn không do Mycobacterium",,,Không nên sử dụng trừ khi lợi ích lớn hơn nguy cơ,"Tăng nồng độ các thuốc sau khi sử dụng đồng thời với clarithromycin: Các thuốc chuyển hóa chủ yếu qua CYP3A4
Các thuốc gây kích ứng hệ thống enzyme CYP3A4 làm tăng chuyển hóa của clarithromycin. Sử dụng cùng lúc clarithromycin và rifabutin làm tăng nồng độ rifabutin và giảm nồng độ clarithromycin trong huyết thanh, cùng với tăng nguy cơ viêm màng mạch nho.
Dùng đồng thời clarithromycin với ergotamine/dihydroergotamine gây độc tính cấp của nấm cựa gà.
Các thuốc sau làm ảnh hưởng đến nồng độ tuần hoàn của clarithromycin: efavirenz, nevirapine, rifampicin, rifabutin, rifapentin, etravirine, fluconazole, ritonavir.","Tâm thần: Mất ngủ.
Hệ thần kinh: Loạn vị giác, đau đầu, cảm giác nhạt miệng.
Tim mạch: Giãn mạch.
Tiêu hóa: Tiêu chảy, nôn, khó tiêu, buồn nôn, đau bụng. Chức năng gan bất thường.","Giữ Klacid 125mg ở nhiệt độ phòng không quá 30oC.
Hỗn dịch đã pha có thể sử dụng được trong 14 ngày khi bảo quản ở nhiệt độ phòng (15 – 30oC) trong chai lọ nút kín. Không để thuốc hỗn dịch đã pha trong tủ lạnh, bảo quản ở nhiệt độ phòng.
Để thuốc ngoài tầm tay trẻ em.",https://drive.google.com/file/d/1PZOEMLZnxyPrZm0tUJMuYfqdS1VddPaE/view,
"Salbutamol (dưới dạng salbutamol sulphat)
Ipratropium bromid","Salbutamol: 2,5mg/2,5ml
Ipratropium bromid: 0,5mg/2,5ml",Zencombi,Dung dịch dùng cho khí dung,Việt Nam,Thuốc được chỉ định để kiểm soát co thắt phế quản có hồi phục do bệnh lý tắc nghẽn đường hô hấp ở những bệnh nhân cần nhiều hơn 1 thuốc giãn phế quản.,"Bệnh nhân có tiền sử mẫn cảm với một trong các thành phần của thuốc.
Không dùng cho bệnh nhân quá mẫn cảm với Atropin hoặc các dẫn xuất của Atropin.
Bệnh nhân bị bệnh cơ tim tắc nghẽn phì đại hoặc loạn nhịp nhanh.","Điều trị cơn cấp tính:
01 lọ đơn liều. Trong các trường hợp nặng không cắt cơn có thể dùng đến lọ đơn liều thứ 2. Trong trường hợp này, bệnh nhân cần được khám bác sĩ hoặc đến bệnh viện gần nhất ngay lập tức.
Điều trị duy trì:
01 lọ đơn liều x 3 – 4 lần/ngày. Bệnh nhân nên đến khám bác sĩ hoặc đến bệnh viện gần nhất ngay lập tức trong trường hợp khó thở cấp hoặc chứng khó thở nặng thêm một cách nhanh chóng nếu dùng thêm liều khí dung Zencombi không đem lại cải thiện.",,"Thận trọng trong các trường hợp quá mẫn, đau mắt hoặc khó chịu ở mắt, không được để bắn vào mắt, tiền sử bị glaucom góc hẹp, BN tiểu đường không được kiểm soát đầy đủ, Bn mới bị nhồi máu cơ tim, rối loạn tim mạch thực thể trầm trọng, cường giáp, u tủy thượng thận, phì đại tiền liệt tuyến, u cổ bàng quang, BN mắc bệnh tim nặng",Thận trọng khi sử dụng thuốc cho phụ nữ có thai và cho con bú,"Dùng đồng thời các dẫn xuất của xanthin cũng như các thuốc beta adrenergic khác và các thuốc kháng cholinergic có thể làm tăng các tác dụng phụ.
Khi dùng đồng thời với các dẫn xuất xanthin, các glucocorticosteroid và thuốc lợi tiểu có thể làm giảm kali máu, nên xét đến khả năng này đặc biệt ở những bệnh nhân bị tắc nghẽn đường hô hấp nặng.
Giảm kali máu có thể làm cho những bệnh nhân dùng digoxin dễ bị loạn nhịp tim, phải theo dõi nồng độ huyết tương cho những trường hợp này.
Khi dùng đồng thời với các thuốc ức chế beta có thể làm giảm tác dụng giãn phế quản.
Dùng đồng thời với các thuốc ức chế monoamin oxidase hoặc thuốc chống trầm cảm 3 vòng có thể làm tác dụng kích thích beta adrenergic mạnh lên.
Hít các chất gây mê hydrocarbon được halogen hóa như halothan, tricloroethylen và enfluran có thể gây tăng sự nhạy cảm đối với tác dụng trên hệ tim mạch của salbutamol.","Tác dụng không mong muốn của Zencombi bao gồm tác dụng không mong muốn của salbutamol và ipratropium bromid, được phân nhóm theo tần suất: rất thường gặp (ADR ≥ 1/10); thường gặp (1/100 ≤ ADR < 1/10); ít gặp (1/1000 ≤ ADR < 1/100); hiếm gặp (1/10000 ≤ ADR < 1/1000); rất hiếm gặp (ADR < 1/10000), hoặc không rõ (không thể ước tính được từ dữ liệu hiện có).","Trong bao bì kín, tránh ẩm, tránh ánh sáng, nhiệt độ dưới 30ºC",https://drive.google.com/file/d/1-L1lgjgWWCjuS3vxCeJnXyhI2bt79ngC/view,
Mometason,"0,05 kl/kl",Dkasolon,Hỗn dịch xịt mũi,Việt Nam,"Sử dụng ở người lớn và trẻ em từ 3 tuổi trở lên để dự phòng, điều trị các triệu chứng tủa viêm mũi dị ứng lâu năm hoặc theo mùa.
Điều trị polyp mũi ở người lớn tử 18 tuổi trở lên.","Bệnh nhân mẫn cảm với bất cứ thành phần nào của thuốc.
Không sử dụng khi có triệu chứng nhiễm khuẩn khu trú tại niêm mạc mũi ví dụ nhiễm herpes simplex.
Do tác dụng ức chế miễn dịch của corticoid, bênh nhân vừa trải qua phẫu thuật hoặc chấn thương ở mũi không nên sử dụng cho đến khi vết thương lành hằn.","Người lớn (bao gồm cả các bệnh nhân lớn tuổi) và trẻ em từ 12 tuổi trở lên:
+ Liều khuyến cáo thông thường là 2 nhát xịt vào mỏi bên mũi x 1 lần/ngày (tổng liều 200 mcg)
+ Khi các triệu chứng được kiểm soát, giảm liều xuống 1 nhát xịt vào mỗi bên mũi x 1lần/ngày (tổng liều 100 mcg) có thể có hiệu quả duy trì.",,,Chưa có dữ liệu.,,"-Thường gặp (ADR > 1/100):
+ Thần kinh trung ương: nhức đầu, mệt mỏi, trầm cảm, đau.
+ Thần kinh - cơ và xương: Đau cơ- xương, đau khớp, đau lưng, đau cơ
+ Hô hấp: Viêm mũi, nhiễm khuẩn hô hấp trên, viêm họng, ho, chảy máu cam.
+ Tim mạch: Đau ngực.
+ Tiêu hóa: Đau bụng, chán ăn, họng khô, tiêu chảy, khó tiêu, đầy hơi, viêm dạ dấy-ruột, buồn nôn, nôn
+ Sinh dục-niệu: Đau kinh.
+ Mắt: Viêm kết mạc.
+ Tai: đau tai, viêm tại giữa,
+ Khác: nhiễm siêu vi, hội chứng giống cảm cúm.","Bảo quản nơi khô mát, tránh ánh sáng, nhiệt độ dưới 30°C",https://drive.google.com/file/d/1e_oScdbtXlm0yPBeeWCuC0Glcn4S49SC/view,
Glucosamine sulfate natri chlorid kết tinh,314mg,VIARTRIL,Viên nang,Ireland,Giảm  triệu chứng của thái hoá khớp gối nhẹ và trung bình,"Phụ nữ có thai,phụ nữ cho con bú,trẻ em,trẻ vị thành niên dưới 18 tuổi do chưa có số liệu về độ an toàn và hiệu quả điều trị.
Quá mẫn cảm với glucosamine hoặc bất kỳ thành phần nào của thuốc.
Bệnh nhân dị ứng với vỏ tôm cua do thành phần chính có trong vỏ tôm.","Dùng cho người trên 18 tuổi
Uống 6 viên nang 250mg chia 3 lần/ngày hoặc 1 gói 1500mg uống một lần/ngày",,,Không khuyến cáo sử dụng,,,,https://drive.google.com/file/d/1dRDIGnyt4Q08q06VjMZwxuq82l5vUSkI/view,
Glucosamine sulfate natri chlorid kết tinh,1884mg,VIARTRIL,Bột pha dung dịch uống,Ireland,Giảm  triệu chứng của thái hoá khớp gối nhẹ và trung bình,"Phụ nữ có thai,phụ nữ cho con bú,trẻ em,trẻ vị thành niên dưới 18 tuổi do chưa có số liệu về độ an toàn và hiệu quả điều trị.
Quá mẫn cảm với glucosamine hoặc bất kỳ thành phần nào của thuốc.
Bệnh nhân dị ứng với vỏ tôm cua do thành phần chính có trong vỏ tôm.","Dùng cho người trên 18 tuổi
Uống 6 viên nang 250mg chia 3 lần/ngày hoặc 1 gói 1500mg uống một lần/ngày",,,Không khuyến cáo sử dụng,,,,https://drive.google.com/file/d/1dRDIGnyt4Q08q06VjMZwxuq82l5vUSkI/view,
Letrozol,"2,5mg",letero,Viên nén bao phim,Ấn Độ,"Dùng cho phụ nữ sau mãn kinh mắc ung thư vú giai đoạn đầu có thụ thể nội tiết dương tính.
Hỗ trợ kéo dài sau khi bệnh nhân đã hoàn tất liệu pháp nội tiết chuẩn
Chỉ định cho ung thư vú tiến triển tại chỗ hoặc di căn ở phụ nữ sau mãn kinh.
 Thường dùng để kích thích sự phát triển nang noãn và rụng trứng
 Phối hợp cùng các phác đồ khác để kích thích buồng trứng tạo phôi hoặc trữ trứng cho phụ nữ mắc ung thư có nhu cầu sinh con trong tương lai","Quá mẫn với letrozol hoặc bất kỳ thành phần nào của thuốc; trạng thái tiền mãn kinh.
phụ nữ có thai và phụ nữ đang cho con bú.","Người lớn/người cao tuổi uống 1 viên (2,5 mg)/ngày",,"giám sát chặt chẽ ở người suy gan nặng ,có bệnh di truyền không dung nạp galactose, thiếu hụt lactase.
kiểm tra, giám sát mật độ xương do thuốc làm giảm estrogen mạnh; tránh dùng đồng thời với tamoxifen hoặc các liệu pháp chứa estrogen khác",Chống chỉ định do thuốc có khả năng gây dị tật bẩm sinh,,,Bảo quản nhiệt độ dưới 30*C,https://drive.google.com/file/d/1c7c3ycL-gQrjR-qd8PVCr0nSbONVmmb7/view,
ofloxacin,15mg,Dung dịch nhỏ mắt Oflovid,Dung dịch nhỏ mắt thân nước,Nhật Bản,"Các nhiễm khuẩn sau đây gây bởi các vi khuẩn nhạy cảm với ofloxacin:Viên bờ mi,viêm túi lệ,lẹo,viêm kết mạc,viêm sụn mi,viêm giác mạc,(kể cả loét giác mạc) và dùng làm kháng sinh dự phòng sử dụng trước và sau phẫu thuật mắt.",Tiền sử quá mẫn cảm với bất kỳ thành phần nào của thuốc này hay với bất kỳ kháng sinh quinolon.,"Thông thường, cho cả người lớn và trẻ em, mỗi lần nhỏ vào mắt 1 giọt, 3 lần/ngày.",,,,,,,https://drive.google.com/file/d/1okjAA9NCqeZ0XkNE9JHfYhZ2WOL4x2ob/view,
Natri hyaluronat tinh chế,5mg,"Tearbalance 0,1%",Dung dịch nhỏ mắt,Nhật Bản,"Điều trị các tổn thương biểu mô giác mạc và kết mạc do các bệnh sau gây ra:
 -Hội chứng khô mắt, hội chứng Sjogren, hoặc hội chứng Stevens-Johnson.
 -Tổn thương do phẫu thuật, dùng thuốc, chấn thương, hoặc kích ứng mắt khi đeo kính sát tròng.",Qúa mẫn với bất kỳ thành phần nào của thuốc,"Mỗi lần 1 giọt, ngày 5-6 lần",,"Chỉ dùng nhỏ mắt
Không để đầu lọ tuốc chạm vào mắt
Không sử dụng khi đeo kính áp tròng loại mềm",Cân nhắc khi sử dụng,,,Bảo quản nhiệt độ dưới 30*C,https://drive.google.com/file/d/1D7NCSq9e6exb59bydbY9VuAYTLk156Xt/view,
Salbutamol,"2,5mg",AtiSaltolin,Dung dịch khí dung,,"Sử dụng cho người lớn và trẻ em từ 4 tuổi trở lên:
Điều trị chứng co thắt phế quản mạn tính không đáp ứng với liệu pháp thông thường.
Điều trị hen suyễn nặng cấp tính.","Quá mẫn với salbutamol hoặc bất kỳ thành phần nào của thuốc.
Không sử dụng dung dịch khí dung Atisaltolin để ngăn chuyển dạ sớm không biến chứng hay dọa sẩy thai","Người lớn: 2,5 mg - 5 mg/lần, tối đa 4 lần một ngày. Có thể dùng đến 40 mg mỗi ngày dưới sự giám sát nghiêm ngặt tại bệnh viện.
Trẻ em từ 12 tuổi trở lên: Liều dùng như người lớn.
Trẻ em từ 4 đến 11 tuổi: 2,5 mg - 5 mg/lần, tối đa 4 lần một ngày.",,"Giám sát chặt chẽ nguy cơ hen nặng lên cấp tính, co thắt phế quan nghịch thường (gây tử vong), tăng huyết áp, suy tim và loạn nhịp tim khi dùng liều cao
Thận trọng với nguy cơ hạ kali máu nặng, nhiễm toan lactic, tăng glucose máu ở bệnh nhân tiểu đường, và tăng độc tính khi phối hợp với các thuốc cường giao cảm khác",Cân nhắc khi sử dụng,Không kết hợp với thuốc ức chế Beta không chọn lọc như propranolol,,"Nơi khô ráo, nhiệt độ không quá 30°C, tránh ánh sáng.",https://drive.google.com/file/d/1nKGEEgTB5u5eEwQdm4A2r79F0OfWc_yR/view,
Ketoprofen,2.5g,"Fastum Gel 2,5%",Dạng gel bôi ngoài,Italy,"Fastum gel thuộc nhóm thuốc kháng viêm giảm đau. Dùng để giảm đau và kháng viêm tại chỗ trong các trường hợp đau xương khớp hay đau cơ do thấp khớp hay đau có nguồn gốc chấn thương: Chấn thương, trật khớp, thâm tím, cứng cổ, đau lưng.","Tiền sử mẫn cảm với ketoprofen, acid tiaprofenic, fenofibrate, các sản phẩm bôi da có tính chất ngăn ngừa tia tử ngoại, nước hoa.
Không bôi Fastum Gel lên vết thương, tổn thương da hở hay vùng gần mắt.
Phụ nữ có thai và cho con bú.",Thời gian dùng 1 - 2 lần/ngày.,,"Dùng lâu dài, có thể làm tăng tính nhạy cảm hoặc kích ứng tại vùng da bôi thuốc.
Bôi lượng lớn thuốc ngoài da có thể xảy ra phản ứng toàn thân như phản ứng quá mẫn và hen.
Ngừng thuốc ngay lập tức khi thấy có phát ban sau khi bôi Fastum Gel.",Không sử dụng cho phụ nữ đang mang thai và cho con bú,,"Phản ứng tại chỗ tại vùng da bôi thuốc, các phản ứng này có thể lan rộng và một số hiếm các trường hợp có báo cáo về phản ứng toàn thân nặng như chàm có mụn nước.","Bạn nên bảo quản ở nhiệt độ phòng, tránh ẩm và tránh ánh sáng. Không bảo quản trong phòng tắm hoặc trong ngăn đá. Bạn nên nhớ rằng mỗi loại thuốc có thể có các phương pháp bảo quản khác nhau. Vì vậy, bạn nên đọc kỹ hướng dẫn bảo quản trên bao bì hoặc hỏi dược sĩ.
Giữ thuốc tránh xa tầm tay trẻ em và thú nuôi.
Hạn sử dụng: 60 tháng kể từ ngày sản xuất.",https://drive.google.com/file/d/14fyX2BLIT01TBkhLXtPw2GNXKEgxuzDf/view,
"Polyethylene glycol (0.3%), Polyethylene glycol 400 (0.4%)",10ml,Systane Ultra,Dung dịch nhỏ mắt,Mỹ,Để làm giảm tạm thời các chứng rát và kích ứng do khô mắt.,Bệnh nhân quá mẫn với một trong các thành phần của thuốc,"Người lớn và người cao tuổi

Nhỏ 1 - 2 giọt vào mắt bị bệnh tùy theo nhu cầu.

Nếu cảm thấy kích ứng nhẹ, khó chịu hoặc nhìn mờ khi đeo kính áp tròng, nhỏ 1 hoặc 2 giọt vào mắt kính và chớp mắt 2 hoặc 3 lần.

Bệnh nhi

Tính an toàn và hiệu quả của Systane Ultra ở trẻ em chưa được thiết lập.

Bệnh nhân bị bệnh gan hoặc thận

Tính an toàn và hiệu quả của Systane Ultra 5ml ở các đối tượng bị bệnh gan/thận chưa được thiết lập",,"Nếu thường xuyên bị khó chịu ở mắt, chảy nước mắt quá mức, đau đầu, thay đổi thị lực, đỏ mắt ngừng ngay sử dụng Systane Ultra và hỏi ý kiến nhân viên y tế về tình trạng mắt của bạn do tình trạng có thể trở nên nghiêm trọng hơn.

Sau khi mở nắp, nếu vòng gắn đảm bảo bị lỏng, cần tháo bỏ trước khi sử dụng thuốc.","Phụ nữ có thai

0. Thuốc có thể được dùng trong thời kỳ mang thai.

Phụ nữ cho con bú

Chưa có dữ liệu đầy đủ liên quan đến ảnh hưởng của Systane Ultra trong thời kỳ cho con bú. Tất cả các thành phần của thuốc là các hợp chất trơ về mặt dược lý do được phân loại nói chung là các chất không có độc tính và không gây kích ứng. Do đó, thuốc được dự đoán không gây ảnh hưởng trong thời kỳ cho con bú. Thuốc có thể được dùng trong suốt thời kỳ cho con bú.

Khả năng sinh sản

Chưa có dữ liệu đầy đủ liên quan đến ảnh hưởng của Systane Ultra trên khả năng sinh sản. Tất cả các thành phần của thuốc là các hợp chất trơ về mặt dược lý do được phân loại nói chung là các chất không có độc tính và không gây kích ứng. Do đó, thuốc được dự đoán không gây ảnh hưởng trên khả năng sinh sản.",Chưa có các tương tác thuốc liên quan đến lâm sàng được mô tả.,,Bảo quản ở nhiệt độ không quá 30°C.,https://drive.google.com/file/d/1oN1klV_DHnCoRidiCGOwdhIR5FfMRt9f/view,
Simethicone,30ml,ESpumisan L,Nhũ tương loãng,Đức,"Điều trị triệu chứng các trường hợp có tích tụ khí trong đường tiêu hoá như chướng bụng, đau bụng ở trẻ em (đau bụng ở trẻ dưới 3 tháng tuổi).
Hỗ trợ trong trường hợp chuẩn bị xét nghiệm bằng hình ảnh khoang bụng (X quang, siêu âm, nội soi dạ dày).
Giải độc trong trường hợp ngộ độc bột giặt.",chống chỉ định với những bệnh nhân quá mẫn với simethicon hoặc bất cứ tá dược nào của thuốc.,"1 ml tương đương với 25 giọt.                                                                                            -Điều trị triệu chứng các trường hợp có tích tụ khí trong đường tiêu hoá như chướng bụng, đau bụng ở trẻ em (đau bụng ở trẻ dưới 3 tháng tuổi) Trẻ sơ sinh : 25 giọt (tương đương 1 ml) cho vào bình sữa hoặc cho uống trước hay sau khi bú.
Trẻ em: 1 - 6 tuổi : 25 giọt (tương đương 1 ml)     3 - 5 lần/ngày
Trẻ em và thanh thiếu niên: 6 - 14 tuổi  : 25 - 50 giọt (tương đương 1 - 2 ml)   3 - 5 lần/ngày
Thanh thiếu niên từ 14 tuổi và người lớn : 50 giọt (tương đương 2 ml)        3 - 5 lần/ngày Espumisan® L có thể dùng cùng hoặc sau bữa ăn, trước khi đi ngủ nếu cần thiết.

Thời gian điều trị phụ thuộc vào tình trạng bệnh.

Có thể dùng Espumisan® L kéo dài nếu cần thiết.

Có thể dùng Espumisan® L sau khi phẫu thuật.                                                            ---------Trường hợp hỗ trợ chuẩn bị xét nghiệm bằng hình ảnh khoang bụng
+Chụp X quang, siêu âm
1 Ngày trước hôm xét nghiệm : 3 lần x 2 ml (tương đương 3 lần x 50 giọt)                           Buổi sáng của hôkm xét nghiệm : 2 ml (tương đương 50 giọt)
+Như là một chất hỗ trợ cho thuốc cản quang:                                                                          4ml nhũ dịch với mỗi lít thuốc cản quang để được chất lượng hình ảnh tăng gấp đôi             +Để chuẩn bị cho nội sôi :                                                                                                                                                           Trước khi nội soi dùng 4 - 8 ml.
Nếu cần, có thể dùng một vài ml nhũ dịch tra vào ống nội soi trong quá trình nội soi để loại trừ sự ảnh hưởng của các bọt khí                                                                                              Như là một tác nhân giải độc trong trường hợp ngộ độc bột giặt
Phụ thuộc vào mức độ nặng của ngộ độc:                                                                                                              Tuổi và liều lượng
Trẻ em : 2,5 - 10 ml
Người lớn : 10 - 20 ml",,"Bệnh nhân có bệnh di truyền không dung nạp fructose không nên dùng Espumisan® L.

Nếu triệu chứng đầy hơi xuất hiện và/hoặc không dứt, phải hỏi ý kiến bác sĩ để tìm nguyên nhân của các triệu chứng và bệnh để có thể xác định việc điều trị.",Có thể dùng thuốc cho phụ nữ có thai và cho con bú,CHho đến nay chưa có,Cho đến nay không có tác dụng không mong muốn nào để ghi nhận khi dùng espumisan L,"Để xa tầm với và tầm nhìn trẻ em                                                              Không dược dùng sau khi hết hạn                                                               Hạn dùng dược ghi trên hộp thuốc và nhãn trên chai thuốc sau chữ ""EXP""                               Bảo quản nhiệt độ không quá 30 độ C",https://drive.google.com/file/d/1jGh_GBa09AEYTmu0Jnk6J9yQ_pyoQzeI/view,
Cefmetazol (Dưới dạng cefmetazol natri),1g,Cefmetazol 1g,Thuốc bột pha tiêm,Việt Nam,"Nhiễm khuẩn thứ phát của viêm bàng quang, viêm thận, bể thận.

Viêm phúc mạc, viêm túi mật, viêm đường mật.

Viêm tuyến Bartholin và phần phụ, nhiễm khuẩn tử cung.

Viêm kết mạc, viêm mô quanh xương hàm, viêm xương hàm.","Bệnh nhân có tiền sử quá mẫn với cefmetazol.

Bệnh nhân có tiền sử quá mẫn với kháng sinh cefem.","người lớn: Tiêm tĩnh mạch hoặc truyền nhỏ giọt tĩnh mạch liều 1 – 2 g mỗi ngày, chia thành 2 lần.
 trẻ nhỏ: Liều thông thường hàng ngày 25 – 100 mg/kg, tiêm tĩnh mạch hoặc truyền nhỏ giọt tĩnh mạch, chia thành 2 – 4 lần.",,"Thận trọng nếu tiền sử dị ứng penicillin, bản thân/gia đình có cơ địa dị ứng (hen, phát ban, mày đay); tránh dùng kéo dài để hạn chế vi khuẩn kháng thuốc.
Cần chỉnh khoảng cách liều ở người suy thận (12–48 giờ), theo dõi gan thận máu; chú ý nguy cơ thiếu hụt vitamin K gây chảy máu ở người già hoặc ăn uống, hấp thu kém; tránh uống rượu.",Dùng theo chỉ định bác sĩ.,"Rượu: Gây phản ứng giống disulfiram (đỏ mặt, tim đập nhanh, chóng mặt, nhức đầu, nôn mửa); phải tránh uống rượu trong khi dùng thuốc và ít nhất 1 tuần sau đó.

Furosemid (Lợi tiểu) & Probenecid: Phối hợp với furosemid làm tăng nguy cơ suy thận; phối hợp với probenecid làm giảm thải trừ qua thận, làm tăng nồng độ và độc tính của cefmetazol.","Sốc, phản ứng phản vệ, hoại tử biểu bì nhiễm độc (hội chứng Lyell/Stevens-Johnson), tổn thương thận cấp, viêm gan/vàng da (tăng mạnh AST/ALT), suy tủy (giảm bạch cầu hạt, thiếu máu tán huyết, giảm tiểu cầu), và viêm đại tràng giả mạc
Phát ban, ngứa, nổi mày đay, sốt; rối loạn tiêu hóa (nôn, buồn nôn, tiêu chảy, chán ăn); nhiễm nấm Candida; nguy cơ thiếu hụt vitamin nhóm B và vitamin K (gây chảy máu).","Không quá 30*C, tránh ẩm và ánh sáng",https://drive.google.com/file/d/1_v9xMGwRZfl9VnqbcHGwypv6Eweiu4h3/view,
